"Date","Price","Change_Price","Change_Percent","Prev_Close","Open","VWAP","Intraday_Low","Intraday_High"
2021-11-22 15:02:00,2385.7,-13.7000000000003,-0.570976077352683,2399.4,2409.4,2388.12,2377.15,2409.9
2021-11-22 15:03:00,2385.6,-13.8000000000002,-0.575143785946494,2399.4,2409.4,2388.1,2377.15,2409.9
2021-11-22 15:04:00,2388,-11.4000000000001,-0.475118779694928,2399.4,2409.4,2388.09,2377.15,2409.9
2021-11-22 15:05:00,2388,-11.4000000000001,-0.475118779694928,2399.4,2409.4,2388.09,2377.15,2409.9
2021-11-22 15:06:00,2388.9,-10.5,-0.437609402350588,2399.4,2409.4,2388.1,2377.15,2409.9
2021-11-22 15:07:00,2387.55,-11.8499999999999,-0.493873468367088,2399.4,2409.4,2388.1,2377.15,2409.9
2021-11-22 15:08:00,2387.45,-11.9500000000003,-0.498041176960918,2399.4,2409.4,2388.1,2377.15,2409.9
2021-11-22 15:09:00,2386.9,-12.5,-0.52096357422689,2399.4,2409.4,2388.09,2377.15,2409.9
2021-11-22 15:10:00,2387.25,-12.1500000000001,-0.506376594148541,2399.4,2409.4,2388.09,2377.15,2409.9
2021-11-22 15:11:00,2390.05,-9.34999999999991,-0.38968075352171,2399.4,2409.4,2388.11,2377.15,2409.9
2021-11-22 15:12:00,2389.3,-10.0999999999999,-0.420938567975323,2399.4,2409.4,2388.12,2377.15,2409.9
