"Stock_Symbol","Stock_Name","Timestamp","Open","High","Low","Close","Volume"
"CSCO","Cisco Systems Inc","2021-08-26 14:45:00",59.22,59.2301,59.17,59.1758,240757
"PFE","Pfizer Inc.","2021-08-19 04:15:00",48.6,48.69,48.51,48.69,11489
"PFE","Pfizer Inc.","2021-09-07 18:15:00",46.62,46.65,46.62,46.63,3394
"MCD","McDonald's Corporation","2021-09-01 10:30:00",238.44,238.57,238.14,238.5486,45624
"WIT","Wipro Limited","2021-09-10 18:45:00",9.47,9.47,9.47,9.47,100
"AMZN","Amazon.com Inc.","2021-09-07 14:00:00",3526.65,3526.65,3521.42,3522.865,69976
"MSFT","Microsoft Corporation","2021-08-20 19:45:00",304.35,304.45,304.35,304.39,2365
"BCS","Barclays Plc","2021-09-10 12:15:00",10.12,10.14,10.11,10.14,44151
"XOM","Exxon Mobil Corporation","2021-09-02 09:15:00",54.18,54.19,54.16,54.18,11374
"TM","Toyota Motor Corporation","2021-08-19 09:45:00",170.15,170.59,169,170.285,70133
"EBAY","eBay Inc.","2021-08-27 13:30:00",76.37,76.415,76.241,76.275,82111
"WIT","Wipro Limited","2021-09-09 12:45:00",9.445,9.45,9.44,9.445,15093
"JPM","J.P. Morgan Chase & Co.","2021-09-03 10:30:00",160.22,160.4981,159.96,160.07,327807
"ORCL","Oracle Corporation","2021-08-19 15:30:00",89.02,89.24,88.99,89.235,216294
"XOM","Exxon Mobil Corporation","2021-08-31 07:00:00",55.16,55.16,55.16,55.16,1870
"TM","Toyota Motor Corporation","2021-08-20 10:45:00",164.83,165.09,164.57,164.57,14291
"JNJ","Johnson & Johnson","2021-09-07 11:45:00",172.11,172.15,171.96,172.09,126176
"ORCL","Oracle Corporation","2021-08-26 12:15:00",88.875,89.039,88.85,88.99,186405
"AAPL","Apple Computer, Inc.","2021-09-13 07:30:00",150.13,150.25,149.92,150,118207
"XOM","Exxon Mobil Corporation","2021-09-14 20:00:00",54.71,54.71,54.68,54.68,2175
"AZN","Astrazeneca Plc.","2021-09-07 11:45:00",58.27,58.33,58.235,58.315,219872
"GS","Goldman Sachs Group, Inc.","2021-08-20 18:45:00",395.8,395.8,395.8,395.8,250
"XOM","Exxon Mobil Corporation","2021-08-19 06:00:00",53.25,53.4,53.25,53.4,743
"BAC","Bank of America Corporation","2021-08-20 17:15:00",40.34,40.38,40.34,40.38,3637
"GE","General Electric Company","2021-09-01 10:00:00",104.34,104.34,103.55,103.76,595099
"EBAY","eBay Inc.","2021-08-20 14:45:00",73.09,73.17,73.04,73.065,128191
"MSFT","Microsoft Corporation","2021-09-01 19:30:00",301.7,301.7,301.7,301.7,529
"HPQ","Hewlett-Packard Company","2021-09-08 09:30:00",28.6424,28.7162,28.5,28.52,8711
"BAC","Bank of America Corporation","2021-09-02 13:30:00",41.26,41.27,41.18,41.1846,1083069
"MSFT","Microsoft Corporation","2021-09-01 13:00:00",302.84,303.17,302.72,302.73,405720
"MSFT","Microsoft Corporation","2021-08-25 10:45:00",301.84,302.02,301.31,301.645,611419
"IBM","International Business Machines Corporation","2021-08-18 11:30:00",141.37,141.37,141.01,141.345,73317
"WIT","Wipro Limited","2021-08-31 15:45:00",9.325,9.33,9.32,9.33,55893
"AZN","Astrazeneca Plc.","2021-09-13 11:45:00",55.93,56.08,55.8,56.08,196216
"AZN","Astrazeneca Plc.","2021-09-09 07:30:00",56.64,56.73,56.61,56.73,8397
"MCD","McDonald's Corporation","2021-08-24 20:00:00",238.8,238.8,238.8,238.8,371
"AMZN","Amazon.com Inc.","2021-09-09 09:15:00",3529,3535,3529,3533,4647
"NOK","Nokia Corporation","2021-09-09 10:30:00",5.9024,5.93,5.89,5.92,1122882
"INTC","Intel Corporation","2021-09-14 15:15:00",54.43,54.465,54.34,54.34,474310
"XOM","Exxon Mobil Corporation","2021-08-24 18:15:00",55.35,55.4,55.35,55.4,200
"AZN","Astrazeneca Plc.","2021-08-26 04:15:00",59.23,59.23,59.23,59.23,100
"JNJ","Johnson & Johnson","2021-08-31 15:00:00",172.65,172.8298,172.62,172.76,160011
